URL,year,member
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,Alcoa
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,BP America
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,Caterpillar Inc.
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,Duke Energy
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,DuPont
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,Environmental Defense
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,FPL Group
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,General Electric
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,Lehman Brothers
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,Natural Resources Defense Council
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,Pew Center on Global Climate Change
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,PG&E Corporation
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,PNM Resources
https://web.archive.org/web/20070203061819/http://www.us-cap.org/,2007,World Resources Institute
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Alcan Inc.
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Alcoa
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,American International Group Inc. (AIG)
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Boston Scientific Corporation
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,BP America Inc.
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Caterpillar Inc.
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Chrysler LLC
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,ConocoPhillips
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Deere & Company
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,The Dow Chemical Company
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Duke Energy
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,DuPont
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Environmental Defense
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Exelon Corporation
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Ford Motor Company
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,FPL Group Inc.
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,General Electric
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,General Motors Corp.
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Johnson & Johnson
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Marsh Inc.
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,National Wildlife Federation
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Natural Resources Defense Council
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,The Nature Conservancy
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,NRG Energy Inc.
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,PepsiCo
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Pew Center on Global Climate Change
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,PG&E Corporation
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,PNM Resources
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Rio Tinto
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Shell
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Siemens Corporation
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,World Resources Institute
https://web.archive.org/web/20080209033146/http://www.us-cap.org/,2008,Xerox Corporation
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Alcoa
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,American International Group Inc. (AIG)
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Boston Scientific Corporation
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,BP America Inc.
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Caterpillar Inc.
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Chrysler LLC
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,ConocoPhillips
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Deere & Company
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,The Dow Chemical Company
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Duke Energy
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,DuPont
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Environmental Defense Fund
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Exelon Corporation
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Ford Motor Company
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,FPL Group Inc.
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,General Electric
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,General Motors Corp.
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Johnson & Johnson
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Marsh Inc.
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Natural Resources Defense Council
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,The Nature Conservancy
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,NRG Energy Inc.
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,PepsiCo
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Pew Center on Global Climate Change
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,PG&E Corporation
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,PNM Resources
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Rio Tinto
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Shell
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Siemens Corporation
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,World Resources Institute
https://web.archive.org/web/20090206031129/http://www.us-cap.org/,2009,Xerox Corporation
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,AES
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Alcoa
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Alstom
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Boston Scientific Corporation
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,BP America
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Caterpillar
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Chrysler
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,ConocoPhillips
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Deere & Company
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,The Dow Chemical Company
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Duke Energy
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,DuPont
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Environmental Defense Fund
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Exelon Corporation
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Ford Motor Company
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,FPL Group
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,General Electric
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,General Motors
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Honeywell
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Johnson & Johnson
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Natural Resources Defense Council
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,The Nature Conservancy
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,NRG Energy
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,PepsiCo
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Pew Center on Global Climate Change
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,PG&E Corporation
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,PNM Resources
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Rio Tinto
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Shell
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,Siemens Corporation
https://web.archive.org/web/20091117183721/http://www.us-cap.org/,2009,World Resources Institute